candidate_id,beam_id,annotation_id,raw_text,outcome,priority,reasons,quantity_status
VC::B168::ANN-6786f17c,B168,ANN-6786f17c,3L-Y10@\X100/150/100C/C,DEFERRED,P3,OCR_CORRUPTION|STIRRUP_PATTERN_UNPARSED|UNRESOLVED_QUANTITY|INSUFFICIENT_VISUAL_EVIDENCE,UNRESOLVED
VC::B169::ANN-e20fb9e9,B169,ANN-e20fb9e9,3L-Y10@100C/C,EXCLUDED,P3,VISION_NOT_REQUIRED,SPACING_BASED
VC::B169::ANN-ecbb3360,B169,ANN-ecbb3360,3-Y25,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B169::ANN-f452a286,B169,ANN-f452a286,3-Y25,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B17::ANN-05a41462,B17,ANN-05a41462,2L-Y12@\X100C/C,DEFERRED,P3,OCR_CORRUPTION|STIRRUP_PATTERN_UNPARSED|UNRESOLVED_QUANTITY|INSUFFICIENT_VISUAL_EVIDENCE,UNRESOLVED
VC::B17::ANN-a215e97d,B17,ANN-a215e97d,2-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B17::ANN-b8e0a143,B17,ANN-b8e0a143,2-Y16,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B17::ANN-fcfcb89f,B17,ANN-fcfcb89f,2-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B170::ANN-05e27048,B170,ANN-05e27048,3-Y16,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B170::ANN-895b6107,B170,ANN-895b6107,3L-Y10@100C/C,EXCLUDED,P3,VISION_NOT_REQUIRED,SPACING_BASED
VC::B170::ANN-d4a7bc97,B170,ANN-d4a7bc97,3-Y16,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B173::ANN-3843b86d,B173,ANN-3843b86d,2L-Y8@100C/C,EXCLUDED,P3,VISION_NOT_REQUIRED,SPACING_BASED
VC::B173::ANN-571456b8,B173,ANN-571456b8,3-Y16,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B174::ANN-17bcde29,B174,ANN-17bcde29,4-Y16,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B174::ANN-6e7baedb,B174,ANN-6e7baedb,4-Y16,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B174::ANN-c9cba092,B174,ANN-c9cba092,2L-Y8@100C/C,EXCLUDED,P3,VISION_NOT_REQUIRED,SPACING_BASED
VC::B175::ANN-25171e3b,B175,ANN-25171e3b,4L-Y12@\X100C/C,VISION_CANDIDATE,P0,OCR_CORRUPTION|STIRRUP_PATTERN_UNPARSED|UNRESOLVED_QUANTITY,UNRESOLVED
VC::B176::ANN-3a8e693e,B176,ANN-3a8e693e,5-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B176::ANN-4cedba97,B176,ANN-4cedba97,5-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B176::ANN-a0bf78d4,B176,ANN-a0bf78d4,3L-Y10@100/125/100C/C,EXCLUDED,P3,VISION_NOT_REQUIRED,SPACING_BASED
VC::B178::ANN-00c3c91d,B178,ANN-00c3c91d,5-Y25,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B178::ANN-1fc57bf5,B178,ANN-1fc57bf5,5-Y25,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B178::ANN-41e4a18e,B178,ANN-41e4a18e,2L-Y8@\X100C/C,VISION_CANDIDATE,P0,OCR_CORRUPTION|STIRRUP_PATTERN_UNPARSED|UNRESOLVED_QUANTITY,UNRESOLVED
VC::B18::ANN-3210a992,B18,ANN-3210a992,4-Y16,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B18::ANN-5731b151,B18,ANN-5731b151,4-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B18::ANN-a7a8941a,B18,ANN-a7a8941a,4L-Y10@100/150/100C/C,EXCLUDED,P3,VISION_NOT_REQUIRED,SPACING_BASED
VC::B180::ANN-67c78cc2,B180,ANN-67c78cc2,3L-Y10@100C/C,EXCLUDED,P3,VISION_NOT_REQUIRED,SPACING_BASED
VC::B180::ANN-7a5a33c9,B180,ANN-7a5a33c9,3-Y25,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B180::ANN-f1bfb9f7,B180,ANN-f1bfb9f7,3-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B182::ANN-57bf8414,B182,ANN-57bf8414,4L-Y10@100C/C,EXCLUDED,P3,VISION_NOT_REQUIRED,SPACING_BASED
VC::B182::ANN-83701bb5,B182,ANN-83701bb5,4-Y25,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B182::ANN-96b81fb9,B182,ANN-96b81fb9,4-Y25,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B185::ANN-6b98f674,B185,ANN-6b98f674,5-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B185::ANN-d75f1bd7,B185,ANN-d75f1bd7,5-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B185::ANN-e9fda83f,B185,ANN-e9fda83f,3L-Y8@100C/C,EXCLUDED,P3,VISION_NOT_REQUIRED,SPACING_BASED
VC::B186::ANN-3c412c8c,B186,ANN-3c412c8c,4-Y25,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B186::ANN-8caa58d6,B186,ANN-8caa58d6,4-Y25,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B186::ANN-b70254d7,B186,ANN-b70254d7,4L-Y12@\X100C/C,DEFERRED,P3,OCR_CORRUPTION|STIRRUP_PATTERN_UNPARSED|UNRESOLVED_QUANTITY|INSUFFICIENT_VISUAL_EVIDENCE,UNRESOLVED
VC::B19::ANN-3f77f5f5,B19,ANN-3f77f5f5,4L-Y10@100/150/100C/C,EXCLUDED,P3,VISION_NOT_REQUIRED,SPACING_BASED
VC::B19::ANN-67b39208,B19,ANN-67b39208,7-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B19::ANN-9aa81bce,B19,ANN-9aa81bce,6-Y25,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B191::ANN-5300cb06,B191,ANN-5300cb06,4L-Y10@100/175/100C/C,EXCLUDED,P3,VISION_NOT_REQUIRED,SPACING_BASED
VC::B191::ANN-5e259653,B191,ANN-5e259653,5-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B22::ANN-97a27470,B22,ANN-97a27470,4L-Y10@100/125/100C/C,EXCLUDED,P3,VISION_NOT_REQUIRED,SPACING_BASED
VC::B22::ANN-9811c5f6,B22,ANN-9811c5f6,4-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B22::ANN-b4498c93,B22,ANN-b4498c93,4-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B23::ANN-9b61b0cf,B23,ANN-9b61b0cf,4L-Y8@100/125/100C/C,EXCLUDED,P3,VISION_NOT_REQUIRED,SPACING_BASED
VC::B23::ANN-fbb93fb6,B23,ANN-fbb93fb6,4-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B29::ANN-15af619b,B29,ANN-15af619b,4L-Y12@100C/C,EXCLUDED,P3,VISION_NOT_REQUIRED,SPACING_BASED
VC::B29::ANN-3428aa15,B29,ANN-3428aa15,4-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
